id,specification,Task,hidden_passed,hidden_failed,predicted_raw,phase,Q2,Q4,llm_familiarity,python_skill,predicted_categ,predicted_midpoint_pct,total_hidden_tests,actual_pct,actual_categ,overconfidence_pp,abs_calibration_error_pp,ordinal_calibration_gap,well_calibrated_bin,overconfident_bin,underconfident_bin
S0037,G2,A,14,19,Not confident at all (0-20%),Phase 1,4.0,4.0,4.0,4.0,1.0,10.0,33,42.42424242424242,3,-32.42424242424242,32.42424242424242,-2.0,0.0,0.0,1.0
S0038,G2,A,10,23,Very confident (61- 80%),Phase 1,5.0,4.0,5.0,4.0,4.0,70.0,33,30.303030303030305,2,39.696969696969695,39.696969696969695,2.0,0.0,1.0,0.0
S0039,G2,A,11,22,Slightly confident (21-40%),Phase 1,3.0,2.0,3.0,2.0,2.0,30.0,33,33.333333333333336,2,-3.3333333333333357,3.3333333333333357,0.0,1.0,0.0,0.0
S0041,G2,A,9,24,Moderately confident (41-60%),Phase 1,2.0,1.0,2.0,1.0,3.0,50.0,33,27.272727272727273,2,22.727272727272727,22.727272727272727,1.0,0.0,1.0,0.0
S0042,G2,A,12,21,Moderately confident (41-60%),Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,36.36363636363637,2,13.636363636363633,13.636363636363633,1.0,0.0,1.0,0.0
S0043,G2,A,10,23,Moderately confident (41-60%),Phase 1,5.0,2.0,5.0,2.0,3.0,50.0,33,30.303030303030305,2,19.696969696969695,19.696969696969695,1.0,0.0,1.0,0.0
S0044,G2,A,12,21,Moderately confident (41-60%),Phase 1,3.0,2.0,3.0,2.0,3.0,50.0,33,36.36363636363637,2,13.636363636363633,13.636363636363633,1.0,0.0,1.0,0.0
S0045,G2,A,15,18,Very confident (61-80%),Phase 1,4.0,3.0,4.0,3.0,4.0,70.0,33,45.45454545454545,3,24.545454545454547,24.545454545454547,1.0,0.0,1.0,0.0
S0046,G2,A,11,22,Not confident at all (0-20%),Phase 1,3.0,2.0,3.0,2.0,1.0,10.0,33,33.333333333333336,2,-23.333333333333336,23.333333333333336,-1.0,0.0,0.0,1.0
S0047,G2,A,10,23,Not confident at all (0-20%),Phase 1,3.0,3.0,3.0,3.0,1.0,10.0,33,30.303030303030305,2,-20.303030303030305,20.303030303030305,-1.0,0.0,0.0,1.0
S0048,G2,A,14,19,Moderately confident (41-60%),Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,42.42424242424242,3,7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0049,G3,A,13,20,Moderately confident (41-60%),Phase 1,4.0,3.0,4.0,3.0,3.0,50.0,33,39.39393939393939,2,10.606060606060609,10.606060606060609,1.0,0.0,1.0,0.0
S0050,G3,B,0,33,Very confident (61-80%),Phase 1,,,,,4.0,70.0,33,0.0,1,70.0,70.0,3.0,0.0,1.0,0.0
S0051,G3,B,14,19,Slightly confident (21-40%),Phase 1,,,,,2.0,30.0,33,42.42424242424242,3,-12.424242424242422,12.424242424242422,-1.0,0.0,0.0,1.0
S0052,G3,B,9,24,Moderately confident (41-60%),Phase 1,4.0,3.0,4.0,3.0,3.0,50.0,33,27.272727272727273,2,22.727272727272727,22.727272727272727,1.0,0.0,1.0,0.0
S0053,G3,A,15,18,Moderately confident (41-60%),Phase 1,4.0,5.0,4.0,5.0,3.0,50.0,33,45.45454545454545,3,4.545454545454547,4.545454545454547,0.0,1.0,0.0,0.0
S0054,G3,A,18,15,Moderately confident (41-60%),Phase 1,2.0,4.0,2.0,4.0,3.0,50.0,33,54.54545454545455,3,-4.545454545454547,4.545454545454547,0.0,1.0,0.0,0.0
S0055,G3,A,19,14,Moderately confident,Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,57.57575757575758,3,-7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0056,G3,A,32,1,Not confident at all,Phase 1,4.0,3.0,4.0,3.0,1.0,10.0,33,96.96969696969697,5,-86.96969696969697,86.96969696969697,-4.0,0.0,0.0,1.0
S0057,G3,A,22,11,Not confident at all (0-20%),Phase 1,2.0,1.0,2.0,1.0,1.0,10.0,33,66.66666666666667,4,-56.66666666666667,56.66666666666667,-3.0,0.0,0.0,1.0
S0058,G3,A,22,11,Moderately confident (41-60%),Phase 1,5.0,2.0,5.0,2.0,3.0,50.0,33,66.66666666666667,4,-16.66666666666667,16.66666666666667,-1.0,0.0,0.0,1.0
S0059,G3,A,19,14,Moderately confident (41-60%),Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,57.57575757575758,3,-7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0060,G3,A,22,11,Slightly confident (21-40%),Phase 1,3.0,2.0,3.0,2.0,2.0,30.0,33,66.66666666666667,4,-36.66666666666667,36.66666666666667,-2.0,0.0,0.0,1.0
S0061,G3,A,19,14,Moderately confident (41-60%),Phase 1,3.0,2.0,3.0,2.0,3.0,50.0,33,57.57575757575758,3,-7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0062,G3,A,19,14,Moderately confident,Phase 1,3.0,4.0,3.0,4.0,3.0,50.0,33,57.57575757575758,3,-7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0063,G3,A,33,0,Slightly confident (21-40%),Phase 1,3.0,3.0,3.0,3.0,2.0,30.0,33,100.0,5,-70.0,70.0,-3.0,0.0,0.0,1.0
S0064,G3,B,30,3,Very confident,Phase 1,4.0,3.0,4.0,3.0,4.0,70.0,33,90.9090909090909,5,-20.909090909090907,20.909090909090907,-1.0,0.0,0.0,1.0
S0065,G3,B,30,3,Not confident at all (0-20%),Phase 1,4.0,2.0,4.0,2.0,1.0,10.0,33,90.9090909090909,5,-80.9090909090909,80.9090909090909,-4.0,0.0,0.0,1.0
S0066,G3,B,24,9,Moderately confident (41-60%),Phase 1,4.0,1.0,4.0,1.0,3.0,50.0,33,72.72727272727273,4,-22.727272727272734,22.727272727272734,-1.0,0.0,0.0,1.0
S0067,G3,B,30,3,Very confident (61- 80%),Phase 1,4.0,3.0,4.0,3.0,4.0,70.0,33,90.9090909090909,5,-20.909090909090907,20.909090909090907,-1.0,0.0,0.0,1.0
